frame r1,1 r1,2 r1,3 t1 r2,1 r2,2 r2,3 t2 r3,1 r3,2 r3,3 t3 0 0.1 0.2 1
0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1
1 1 0.0013946 -0.0012946 -0.032102 -0.0013933 1 0.00099433 0.0061036 0.001296 -0.00099252 1 1.3488 0 0 0 1
2 0.99999 0.0024634 -0.0034176 -0.038719 -0.0024643 1 -0.0002507 0.0158 0.003417 0.00025912 0.99999 2.6881 0 0 0 1
3 0.99998 0.003491 -0.004823 -0.056528 -0.003508 0.99999 -0.0035319 0.015822 0.0048106 0.0035487 0.99998 4.0311 0 0 0 1
4 0.99997 0.005208 -0.0059092 -0.080033 -0.0052333 0.99998 -0.0042699 0.016991 0.0058868 0.0043007 0.99997 5.3634 0 0 0 1
5 0.99996 0.0062724 -0.006507 -0.10826 -0.0063041 0.99997 -0.0048734 0.0066756 0.0064762 0.0049142 0.99997 6.7038 0 0 0 1
6 0.99996 0.0055849 -0.0068416 -0.13294 -0.0056199 0.99997 -0.0050984 0.0093459 0.006813 0.0051366 0.99996 8.0465 0 0 0 1
7 0.99996 0.0046908 -0.0071136 -0.15748 -0.0047369 0.99997 -0.0064758 -0.00076911 0.007083 0.0065093 0.99995 9.3836 0 0 0 1
8 0.99997 0.0033684 -0.0075709 -0.18092 -0.003408 0.99998 -0.0052247 -0.0039199 0.0075532 0.0052503 0.99996 10.713 0 0 0 1
9 0.99996 0.0030311 -0.0078545 -0.20479 -0.0030566 0.99999 -0.0032387 -0.0075231 0.0078446 0.0032626 0.99996 12.04 0 0 0 1
10 0.99996 0.0042258 -0.0077581 -0.23215 -0.0042366 0.99999 -0.0013867 -0.0052983 0.0077521 0.0014195 0.99997 13.338 0 0 0 1
11 0.99995 0.0045342 -0.008937 -0.25279 -0.0045441 0.99999 -0.0010885 -0.0015777 0.0089319 0.001129 0.99996 14.63 0 0 0 1
12 0.99992 0.0044879 -0.011535 -0.27734 -0.0045063 0.99999 -0.001578 -0.0064863 0.011527 0.0016298 0.99993 15.929 0 0 0 1
13 0.99988 0.0027799 -0.015024 -0.29869 -0.0028177 0.99999 -0.0024991 -0.0082596 0.015017 0.0025412 0.99988 17.238 0 0 0 1
14 0.99984 -0.00045591 -0.017883 -0.33238 0.00039057 0.99999 -0.0036572 -0.012457 0.017885 0.0036496 0.99983 18.544 0 0 0 1
15 0.99979 -0.0010332 -0.020598 -0.37238 0.00091743 0.99998 -0.0056293 -0.018496 0.020604 0.0056092 0.99977 19.823 0 0 0 1
16 0.99974 -0.0023515 -0.022575 -0.41316 0.0022316 0.99998 -0.0053367 -0.018724 0.022587 0.0052849 0.99973 21.103 0 0 0 1
17 0.9997 -0.0018909 -0.024457 -0.45258 0.0018064 0.99999 -0.003479 -0.027316 0.024464 0.0034337 0.99969 22.392 0 0 0 1
18 0.99966 -0.0029131 -0.025857 -0.49391 0.0028527 0.99999 -0.0023745 -0.035558 0.025864 0.0022999 0.99966 23.678 0 0 0 1
19 0.99963 -0.0029648 -0.027173 -0.54171 0.0028964 0.99999 -0.0025551 -0.036629 0.027181 0.0024754 0.99963 24.966 0 0 0 1
20 0.9996 -0.0030284 -0.027963 -0.60637 0.0029372 0.99999 -0.0033032 -0.032764 0.027973 0.0032197 0.9996 26.248 0 0 0 1
21 0.99957 -0.0025538 -0.029209 -0.65687 0.0024361 0.99999 -0.0040664 -0.042658 0.029219 0.0039935 0.99957 27.511 0 0 0 1
22 0.99954 -0.003905 -0.030073 -0.7157 0.0037372 0.99998 -0.0056334 -0.042092 0.030095 0.0055185 0.99953 28.816 0 0 0 1
