frame tid label truncated occluded alpha l t r b w3d h3d l3d x3d y3d z3d ry rx rz truncr occupr orig_label moving model color score
0 0 Car -1 -1 -1.000000 885.000000 194.000000 1237.000000 374.000000 1.531640 1.605868 3.883812 3.344534 1.605614 4.910343 -1.579115 0 0 -1 -1 -1 -1 -1 -1 1
1 0 Car -1 -1 -1.000000 873.000000 191.000000 1239.000000 374.000000 1.479769 1.616749 4.027037 3.372386 1.619394 4.909703 -1.583257 0 0 -1 -1 -1 -1 -1 -1 1
2 0 Car -1 -1 -1.000000 866.000000 190.000000 1237.000000 373.000000 1.501027 1.635461 3.990951 3.411240 1.678708 5.268722 -1.573632 0 0 -1 -1 -1 -1 -1 -1 1
3 0 Car -1 -1 -1.000000 854.000000 192.000000 1241.000000 373.000000 1.465030 1.612002 3.989158 3.392285 1.636440 5.493437 -1.605669 0 0 -1 -1 -1 -1 -1 -1 1
4 0 Car -1 -1 -1.000000 839.000000 193.000000 1241.000000 374.000000 1.497871 1.595947 3.918049 3.324641 1.676821 5.750831 -1.570090 0 0 -1 -1 -1 -1 -1 -1 1
5 0 Car -1 -1 -1.000000 837.000000 191.000000 1241.000000 374.000000 1.499147 1.578929 3.956147 3.242545 1.670736 6.061354 -1.593416 0 0 -1 -1 -1 -1 -1 -1 1
6 0 Car -1 -1 -1.000000 824.000000 193.000000 1241.000000 374.000000 1.454751 1.599639 4.023096 3.321533 1.628334 6.448863 -1.605945 0 0 -1 -1 -1 -1 -1 -1 1
7 0 Car -1 -1 -1.000000 813.000000 191.000000 1237.000000 372.000000 1.475578 1.626879 4.035064 3.274960 1.690730 6.688899 -1.578862 0 0 -1 -1 -1 -1 -1 -1 1
8 0 Car -1 -1 -1.000000 799.000000 193.000000 1211.000000 374.000000 1.478963 1.618180 3.957064 3.227058 1.672738 6.928670 -1.607681 0 0 -1 -1 -1 -1 -1 -1 1
9 0 Car -1 -1 -1.000000 791.000000 193.000000 1167.000000 373.000000 1.452600 1.629763 3.921342 3.291599 1.667426 7.296955 -1.573237 0 0 -1 -1 -1 -1 -1 -1 1
7 1 Car -1 -1 -1.000000 236.000000 180.000000 290.000000 205.000000 1.535800 1.608401 3.773488 -20.984271 1.874019 43.751915 1.535268 0 0 -1 -1 -1 -1 -1 -1 1
8 1 Car -1 -1 -1.000000 224.000000 180.000000 284.000000 206.000000 1.493512 1.590379 3.729369 -20.958364 1.888260 42.554204 1.560526 0 0 -1 -1 -1 -1 -1 -1 1
9 1 Car -1 -1 -1.000000 215.000000 179.000000 271.000000 205.000000 1.508263 1.599499 3.736627 -20.943410 1.793803 41.314338 1.563773 0 0 -1 -1 -1 -1 -1 -1 1
10 1 Car -1 -1 -1.000000 205.000000 178.000000 263.000000 204.000000 1.543607 1.628149 3.825793 -20.917177 1.660894 40.438722 1.493993 0 0 -1 -1 -1 -1 -1 -1 1
11 1 Car -1 -1 -1.000000 193.000000 178.000000 258.000000 203.000000 1.505321 1.577561 3.889701 -20.793284 1.690766 38.965332 1.503061 0 0 -1 -1 -1 -1 -1 -1 1
12 1 Car -1 -1 -1.000000 188.000000 177.000000 244.000000 205.000000 1.528924 1.608339 3.756299 -20.686418 1.667630 37.820939 1.573621 0 0 -1 -1 -1 -1 -1 -1 1
13 1 Car -1 -1 -1.000000 169.000000 179.000000 234.000000 208.000000 1.551358 1.561508 3.594311 -20.624887 1.797018 36.699652 1.552570 0 0 -1 -1 -1 -1 -1 -1 1
14 1 Car -1 -1 -1.000000 158.000000 179.000000 237.000000 212.000000 1.500146 1.600611 3.802391 -20.476998 1.892657 35.663177 1.553714 0 0 -1 -1 -1 -1 -1 -1 1
15 1 Car -1 -1 -1.000000 145.000000 182.000000 218.000000 216.000000 1.545203 1.598691 3.752795 -20.256713 1.509804 34.677378 1.548391 0 0 -1 -1 -1 -1 -1 -1 1
16 1 Car -1 -1 -1.000000 130.000000 184.000000 211.000000 217.000000 1.535012 1.584871 3.701817 -20.267716 2.025799 33.336899 1.534369 0 0 -1 -1 -1 -1 -1 -1 1
17 1 Car -1 -1 -1.000000 114.000000 183.000000 196.000000 218.000000 1.502677 1.575508 3.643684 -20.166653 1.974745 32.209084 1.541611 0 0 -1 -1 -1 -1 -1 -1 1
18 1 Car -1 -1 -1.000000 93.000000 183.000000 190.000000 220.000000 1.501267 1.580753 3.724481 -20.150928 1.966929 31.095504 1.562693 0 0 -1 -1 -1 -1 -1 -1 1
19 1 Car -1 -1 -1.000000 77.000000 184.000000 168.000000 221.000000 1.523829 1.579300 3.678763 -20.091409 1.934184 29.862085 1.562651 0 0 -1 -1 -1 -1 -1 -1 1
20 1 Car -1 -1 -1.000000 58.000000 186.000000 158.000000 224.000000 1.491027 1.580428 3.722953 -20.091843 1.949351 28.874819 1.534859 0 0 -1 -1 -1 -1 -1 -1 1
21 1 Car -1 -1 -1.000000 33.000000 185.000000 140.000000 226.000000 1.501349 1.577635 3.588163 -20.055090 1.944559 27.630796 1.543259 0 0 -1 -1 -1 -1 -1 -1 1
22 1 Car -1 -1 -1.000000 6.000000 187.000000 121.000000 229.000000 1.510289 1.594784 3.767811 -19.996951 2.037999 26.640331 1.534560 0 0 -1 -1 -1 -1 -1 -1 1
23 1 Car -1 -1 -1.000000 2.000000 188.000000 107.000000 230.000000 1.465412 1.616239 3.955118 -19.991088 1.962905 25.688817 1.544582 0 0 -1 -1 -1 -1 -1 -1 1
24 1 Car -1 -1 -1.000000 4.000000 184.000000 77.000000 231.000000 1.517900 1.593934 3.698362 -19.929287 1.510416 24.288390 1.522526 0 0 -1 -1 -1 -1 -1 -1 1
10 2 Car -1 -1 -1.000000 784.000000 191.000000 1136.000000 373.000000 1.464174 1.612915 3.941739 3.208169 1.663692 7.526475 -1.574472 0 0 -1 -1 -1 -1 -1 -1 1
11 2 Car -1 -1 -1.000000 778.000000 190.000000 1109.000000 363.000000 1.502606 1.630810 4.048518 3.166453 1.695199 7.953676 -1.614356 0 0 -1 -1 -1 -1 -1 -1 1
12 2 Car -1 -1 -1.000000 772.000000 190.000000 1082.000000 357.000000 1.466843 1.619541 3.898225 3.167499 1.662567 8.181421 -1.613307 0 0 -1 -1 -1 -1 -1 -1 1
13 2 Car -1 -1 -1.000000 769.000000 190.000000 1058.000000 348.000000 1.458663 1.624551 3.921691 3.185552 1.676747 8.547903 -1.582547 0 0 -1 -1 -1 -1 -1 -1 1
14 2 Car -1 -1 -1.000000 765.000000 187.000000 1041.000000 340.000000 1.463391 1.609087 3.914541 3.249519 1.688577 8.826505 -1.581398 0 0 -1 -1 -1 -1 -1 -1 1
15 2 Car -1 -1 -1.000000 759.000000 190.000000 1018.000000 336.000000 1.440185 1.622813 3.935901 3.233327 1.579533 9.120253 -1.587739 0 0 -1 -1 -1 -1 -1 -1 1
16 2 Car -1 -1 -1.000000 754.000000 187.000000 1002.000000 328.000000 1.476365 1.624415 4.004546 3.221087 1.645582 9.539958 -1.587553 0 0 -1 -1 -1 -1 -1 -1 1
17 2 Car -1 -1 -1.000000 754.000000 186.000000 988.000000 320.000000 1.436900 1.620594 3.987194 3.224060 1.626438 9.789225 -1.588367 0 0 -1 -1 -1 -1 -1 -1 1
18 2 Car -1 -1 -1.000000 748.000000 185.000000 969.000000 311.000000 1.468069 1.607163 3.958919 3.226507 1.643232 10.199149 -1.587719 0 0 -1 -1 -1 -1 -1 -1 1
19 2 Car -1 -1 -1.000000 745.000000 185.000000 955.000000 308.000000 1.473891 1.624001 4.019605 3.223181 1.633878 10.545494 -1.595958 0 0 -1 -1 -1 -1 -1 -1 1
20 2 Car -1 -1 -1.000000 740.000000 185.000000 941.000000 302.000000 1.472054 1.620016 3.974817 3.199328 1.657657 10.846999 -1.595363 0 0 -1 -1 -1 -1 -1 -1 1
21 2 Car -1 -1 -1.000000 735.000000 185.000000 929.000000 300.000000 1.454721 1.594899 3.948566 3.227736 1.659908 11.173684 -1.598330 0 0 -1 -1 -1 -1 -1 -1 1
22 2 Car -1 -1 -1.000000 733.000000 184.000000 919.000000 296.000000 1.449156 1.603530 3.987593 3.213382 1.612976 11.526787 -1.594428 0 0 -1 -1 -1 -1 -1 -1 1
23 2 Car -1 -1 -1.000000 728.000000 185.000000 905.000000 289.000000 1.470963 1.607685 4.024321 3.191741 1.690121 11.876516 -1.611729 0 0 -1 -1 -1 -1 -1 -1 1
24 2 Car -1 -1 -1.000000 727.000000 183.000000 896.000000 287.000000 1.447528 1.601877 4.016116 3.162406 1.501902 12.319082 -1.584383 0 0 -1 -1 -1 -1 -1 -1 1
25 2 Car -1 -1 -1.000000 721.000000 184.000000 886.000000 281.000000 1.464822 1.624193 4.038855 3.126866 1.659167 12.731137 -1.615822 0 0 -1 -1 -1 -1 -1 -1 1
26 2 Car -1 -1 -1.000000 717.000000 184.000000 874.000000 277.000000 1.458252 1.623056 3.980209 3.124636 1.631525 12.981915 -1.607474 0 0 -1 -1 -1 -1 -1 -1 1
27 2 Car -1 -1 -1.000000 714.000000 184.000000 863.000000 275.000000 1.481435 1.611824 3.938508 3.120145 1.660829 13.314938 -1.624948 0 0 -1 -1 -1 -1 -1 -1 1
28 2 Car -1 -1 -1.000000 710.000000 184.000000 852.000000 275.000000 1.499694 1.590129 3.935981 3.038286 1.543440 13.691721 -1.626777 0 0 -1 -1 -1 -1 -1 -1 1
29 2 Car -1 -1 -1.000000 704.000000 185.000000 840.000000 272.000000 1.425485 1.638970 4.101536 2.978409 1.661201 14.204876 -1.636460 0 0 -1 -1 -1 -1 -1 -1 1
30 2 Car -1 -1 -1.000000 699.000000 184.000000 833.000000 269.000000 1.480248 1.640847 4.064273 2.953073 1.711080 14.573500 -1.617386 0 0 -1 -1 -1 -1 -1 -1 1
31 2 Car -1 -1 -1.000000 693.000000 184.000000 820.000000 265.000000 1.438812 1.617471 4.016047 2.851526 1.671965 14.896105 -1.589600 0 0 -1 -1 -1 -1 -1 -1 1
32 2 Car -1 -1 -1.000000 688.000000 183.000000 809.000000 261.000000 1.462690 1.621478 4.079962 2.759249 1.648037 15.365607 -1.621089 0 0 -1 -1 -1 -1 -1 -1 1
33 2 Car -1 -1 -1.000000 680.000000 182.000000 797.000000 258.000000 1.467659 1.610078 3.914281 2.676273 1.677624 15.706072 -1.618899 0 0 -1 -1 -1 -1 -1 -1 1
34 2 Car -1 -1 -1.000000 673.000000 181.000000 786.000000 257.000000 1.425138 1.600728 3.873632 2.540149 1.663437 16.094533 -1.635896 0 0 -1 -1 -1 -1 -1 -1 1
35 2 Car -1 -1 -1.000000 668.000000 182.000000 776.000000 253.000000 1.450398 1.638633 4.048004 2.418362 1.698721 16.524953 -1.632526 0 0 -1 -1 -1 -1 -1 -1 1
36 2 Car -1 -1 -1.000000 661.000000 182.000000 766.000000 250.000000 1.453612 1.609527 4.008549 2.318947 1.631574 16.992310 -1.622594 0 0 -1 -1 -1 -1 -1 -1 1
37 2 Car -1 -1 -1.000000 653.000000 181.000000 753.000000 249.000000 1.440943 1.626851 4.065679 2.102175 1.407243 17.439959 -1.654919 0 0 -1 -1 -1 -1 -1 -1 1
38 2 Car -1 -1 -1.000000 648.000000 182.000000 743.000000 247.000000 1.429670 1.625506 4.059479 1.980318 1.617087 17.774526 -1.635797 0 0 -1 -1 -1 -1 -1 -1 1
39 2 Car -1 -1 -1.000000 639.000000 183.000000 733.000000 244.000000 1.472561 1.611583 4.014224 1.817247 1.668842 18.235983 -1.649062 0 0 -1 -1 -1 -1 -1 -1 1
40 2 Car -1 -1 -1.000000 634.000000 183.000000 723.000000 244.000000 1.427851 1.623681 3.958176 1.674610 1.604589 18.587684 -1.646712 0 0 -1 -1 -1 -1 -1 -1 1
41 2 Car -1 -1 -1.000000 627.000000 182.000000 712.000000 242.000000 1.458831 1.618001 4.055117 1.466176 1.688775 19.091247 -1.658700 0 0 -1 -1 -1 -1 -1 -1 1
42 2 Car -1 -1 -1.000000 619.000000 183.000000 703.000000 241.000000 1.420424 1.604223 3.916114 1.304624 1.701718 19.312408 -1.668814 0 0 -1 -1 -1 -1 -1 -1 1
43 2 Car -1 -1 -1.000000 613.000000 183.000000 695.000000 241.000000 1.427000 1.595128 3.925002 1.077100 1.705472 19.800832 -1.679887 0 0 -1 -1 -1 -1 -1 -1 1
44 2 Car -1 -1 -1.000000 607.000000 183.000000 686.000000 240.000000 1.476279 1.636578 4.095994 0.885056 1.732733 20.399541 -1.688987 0 0 -1 -1 -1 -1 -1 -1 1
45 2 Car -1 -1 -1.000000 599.000000 183.000000 678.000000 238.000000 1.481325 1.602792 3.899549 0.661867 1.815337 20.592228 -1.692542 0 0 -1 -1 -1 -1 -1 -1 1
46 2 Car -1 -1 -1.000000 594.000000 183.000000 670.000000 237.000000 1.410360 1.638740 3.995876 0.527756 1.688162 21.006718 -1.684776 0 0 -1 -1 -1 -1 -1 -1 1
47 2 Car -1 -1 -1.000000 591.000000 183.000000 662.000000 237.000000 1.449480 1.592780 3.842788 0.396256 1.382970 21.346368 -1.681340 0 0 -1 -1 -1 -1 -1 -1 1
48 2 Car -1 -1 -1.000000 583.000000 185.000000 654.000000 239.000000 1.417148 1.603811 3.916929 0.299116 1.531992 21.777442 -1.698551 0 0 -1 -1 -1 -1 -1 -1 1
49 2 Car -1 -1 -1.000000 580.000000 182.000000 649.000000 234.000000 1.456147 1.637734 3.955854 -0.004052 1.768146 22.196696 -1.692630 0 0 -1 -1 -1 -1 -1 -1 1
